I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4625,,1973,2,21,14,42,23.4,38,5.1,,,5.1,,,5.7,6,NEW ZEALAND,,NEW ZEALAND:  HAWKES BAY,-39.58,176.57,170,,,,,,,,2,,,,,,,,,,,,,,,,
4626,,1973,2,21,14,45,57.3,8,5.7,,5.7,5.7,5.9,,,7,USA,CA,CALIFORNIA:  OXNARD,34.1,-119,150,,,,,,,1,2,,,,,,,,,,,,,,,,
4627,,1973,2,24,0,2,41,27,5.2,,,5.2,,,5.2,,IRAN,,"IRAN:  KHABIS,HENGAM ISLAND",28.58,52.62,140,,,,,,,,3,,,,,,,,,,,,,,,,
4629,Tsu,1973,2,28,6,37,49.5,27,7.2,,7.2,6.3,,,,8,RUSSIA,,"RUSSIA:  KURIL ISLANDS, HIROO, URAKAWA",50.5,156.6,50,,,,,,,,2,,,,,,,,,,,,2,,,,
4630,,1973,3,9,19,9,12.8,13,5.5,,,5.5,,,5.5,5,AUSTRALIA,,"AUSTRALIA:  WOLLONGONG, SYDNEY",-34.13,150.27,170,,,,,,,0.5,1,,,,,,,,,,,,,,,,
4632,Tsu,1973,3,17,8,30,51.8,33,7.5,,7.5,5.6,,,,9,PHILIPPINES,,"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",13.4,122.8,170,15,1,,,64,2,0.45,1,,,,,15,1,,,64,2,0.45,1,,,,
4633,,1973,4,1,7,12,37,31,5.9,,5.9,,,,6,,ETHIOPIA,,ETHIOPIA:  DJIBOUTI,11.66,43.03,10,,,,,,,,2,,,,,,,,,,,,,,,,
4634,,1973,4,14,8,34,0.1,33,6.5,,6.5,5.7,,,,,COSTA RICA,,"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO",10.679,-84.759,100,26,1,,,100,2,0.2,1,,,,,26,1,,,100,2,0.2,1,,,,
4636,,1973,4,24,21,30,9.9,50,6.5,,6.5,6.3,,,,,COLOMBIA,,"COLOMBIA; SAN CRISTOBAL, VENEZUELA",4.956,-78.144,160,1,1,,,,,,2,,,,,1,1,,,,,,2,,,,
4637,,1973,4,26,20,26,28.6,48,6.5,6.5,6.3,,6.2,,,8,USA,HI,HAWAII: HILO,19.936,-155.098,150,,,,,11,1,5.75,3,,,,,,,,,11,1,5.75,3,,,,
4638,Tsu,1973,6,17,3,55,2.9,48,7.7,,7.7,6.5,,,7.7,8,JAPAN,,JAPAN:  HOKKAIDO ISLAND,43.2,145.8,30,,,,,27,1,5,2,2,1,,,27,1,,,,,5,2,2,1,,
4639,Tsu,1973,6,24,2,43,25.5,50,7.1,,7.1,6.3,,,,8,RUSSIA,,RUSSIA:  KURIL ISLANDS,43.3,146.4,50,,,,,1,1,,1,,,,,,,,,1,1,,1,,,,
7801,Tsu,1973,6,26,22,32,0.2,50,6.6,,6.6,5.8,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS:  S,43.2,146.6,50,,,,,,,,,,,,,,,,,,,,,,,,
4640,,1973,7,14,4,51,21,33,7.5,,7.5,6,,,,,CHINA,,CHINA:  TIBET (XIZANG PROVINCE),35.18,86.48,40,,,,,,,,,,,,,,,,,,,,,,,,
4641,,1973,8,18,22,38,29,,3.5,,,,,,3.5,6,ITALY,,ITALY:  SICILY,37.66,15.167,130,,,,,,,0.5,1,,,,,,,,,,,,,,,,
4642,,1973,8,28,9,50,40,84,6.2,,,6.2,,,7.2,7,MEXICO,,"MEXICO:  VERACRUZ, MEXICO CITY",18.27,-96.6,150,600,3,,,,,,3,,,,,,,,,,,,,,,,
4644,Tsu,1973,10,5,5,47,51.1,14,6.7,,6.7,5.8,,,,7,CHILE,,"CHILE:  VALPARAISO, LA LIGUA, SANTIAGO",-32.5,-71.5,160,,,,,,,,2,,,,,,,,,,,,,,,,
4645,,1973,10,6,15,7,37.3,33,7.5,,7.5,6.2,,,7.5,,ANTARCTICA,,ANTARCTICA,-60.82,-21.55,20,,,,,,,,,,,,,,,,,,,,,,,,
